Index,Date,Type Code,Type Name,Type Shortname,Account,Amount,Amount Currency Full,Amount Currency,Account To,Amount To,Amount To Currency Full,Amount To Currency,Balance,Balance Currency Full,Balance Currency,Base Category,Sub Category,Full Category,Description,Agent,Check number,Class
113,19 Jun 2020 00:18:34,3,Income,TIN,Primary (KBank),95.94,Thai Baht,THB,,0,Unknown,UKN,29867.81,Thai Baht,THB,Interest,,Interest,,,,
114,20 Jun 2020 10:00:30,2,Expense,TEP,Wisdom (KBank),2690,Thai Baht,THB,,0,Unknown,UKN,1008149,Thai Baht,THB,Physical Shopping,Watch,Physical Shopping: Watch,Auto-generated transaction,,,
115,20 Jun 2020 10:00:55,2,Expense,TEP,Wisdom (KBank),517.65,Thai Baht,THB,,0,Unknown,UKN,1007631.35,Thai Baht,THB,Household,Home Appliances,Household: Home Appliances,Xiaomi Air purifier 3H  Auto-generated transaction,Lazada,,
116,20 Jun 2020 15:25:52,2,Expense,TEP,World Mastercard (KTC),237,Thai Baht,THB,,0,Unknown,UKN,118993,Thai Baht,THB,Household,Home Supplies,Household: Home Supplies,,Watsons,,Couple
117,20 Jun 2020 18:25:05,2,Expense,TEP,Wisdom (KBank),1080,Thai Baht,THB,,0,Unknown,UKN,1006551.35,Thai Baht,THB,Transportation,Train,Transportation: Train,,BTS,,
118,21 Jun 2020 18:12:46,5,Money Transfer,TMT,Primary (KBank),900,Thai Baht,THB,Wallet,900,Thai Baht,THB,28967.81,Thai Baht,THB,,,,,,,
119,21 Jun 2020 18:15:55,2,Expense,TEP,Wallet,465,Thai Baht,THB,,0,Unknown,UKN,455,Thai Baht,THB,Food,Dinner,Food: Dinner,,,,
120,21 Jun 2020 18:16:19,2,Expense,TEP,Wallet,15,Thai Baht,THB,,0,Unknown,UKN,440,Thai Baht,THB,Gift,Just for fun,Gift: Just for fun,,Natcha,,
121,21 Jun 2020 18:52:29,2,Expense,TEP,World Mastercard (KTC),211,Thai Baht,THB,,0,Unknown,UKN,118782,Thai Baht,THB,Food,Snacks,Food: Snacks,,VillaMarket,,Couple
122,21 Jun 2020 19:41:18,2,Expense,TEP,World Mastercard (KTC),270,Thai Baht,THB,,0,Unknown,UKN,118512,Thai Baht,THB,Household,Home Supplies,Household: Home Supplies,,Watsons,,Couple
123,22 Jun 2020 12:01:43,3,Income,TIN,Primary (KBank),18000,Thai Baht,THB,,0,Unknown,UKN,46967.81,Thai Baht,THB,Sell,,Sell,,,,
124,23 Jun 2020 09:31:19,2,Expense,TEP,Wisdom (KBank),1386.72,Thai Baht,THB,,0,Unknown,UKN,1005164.63,Thai Baht,THB,Utilities,Phones,Utilities: Phones,,Dtac,,
125,24 Jun 2020 12:49:05,2,Expense,TEP,Primary (KBank),69,Thai Baht,THB,,0,Unknown,UKN,46898.81,Thai Baht,THB,Physical Shopping,Accessories,Physical Shopping: Accessories,ที่ใส่บัตร,Shopee,,
126,26 Jun 2020 20:50:51,2,Expense,TEP,True wallet,32,Thai Baht,THB,,0,Unknown,UKN,69.5,Thai Baht,THB,Food,Snacks,Food: Snacks,,7-11,,
127,27 Jun 2020 10:46:29,3,Income,TIN,Primary (KBank),4.84,Thai Baht,THB,,0,Unknown,UKN,46903.65,Thai Baht,THB,Interest,,Interest,,,,
128,27 Jun 2020 10:46:51,3,Income,TIN,Primary (KBank),49.53,Thai Baht,THB,,0,Unknown,UKN,46953.18,Thai Baht,THB,Interest,,Interest,,,,
129,27 Jun 2020 14:56:10,2,Expense,TEP,Wallet,169,Thai Baht,THB,,0,Unknown,UKN,271,Thai Baht,THB,Food,Dinner,Food: Dinner,,McDonalds,,
130,27 Jun 2020 14:56:47,2,Expense,TEP,Wallet,11,Thai Baht,THB,,0,Unknown,UKN,260,Thai Baht,THB,Gift,Just for fun,Gift: Just for fun,,Natcha,,
131,29 Jun 2020 01:23:08,3,Income,TIN,Primary (KBank),45355.42,Thai Baht,THB,,0,Unknown,UKN,92308.6,Thai Baht,THB,Salary,,Salary,,,,
132,29 Jun 2020 22:42:33,2,Expense,TEP,Wisdom (KBank),309,Thai Baht,THB,,0,Unknown,UKN,1004855.63,Thai Baht,THB,Digital Shopping,Application,Digital Shopping: Application,Airmail,Apple,,
133,30 Jun 2020 10:00:33,5,Money Transfer,TMT,Primary (KBank),3368.65,Thai Baht,THB,Wisdom (KBank),3368.65,Thai Baht,THB,88939.95,Thai Baht,THB,,,,,,,
134,30 Jun 2020 14:03:14,3,Income,TIN,World Mastercard (KTC),770,Thai Baht,THB,,0,Unknown,UKN,119282,Thai Baht,THB,Reimbursement,,Reimbursement,MK,Natcha,,
